sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_counter,dataset_index,patient_id,slice_index,mean_uncertainty_hu,std_uncertainty_hu,mean_error_hu,error_uncertainty_corr
192.57156,348.9133,17.445118,0.21740424655254012,260.0832,351.52502,17.380342,0.6263073613167438,606.3766,523.7518,59.36033,173.47371,195.07346,283.2449,192.57156,260.0832,38,696,2ABA075,7,27.962086,41.3042,192.57156,-0.013640533062779568
74.89281,162.42516,24.086401,0.363489462422608,110.77132,172.56194,23.560566,0.8552500224490652,118.60063,67.97195,48.392033,116.30338,501.78806,479.0176,74.89281,110.77132,39,318,2ABA044,21,72.43143,83.01316,74.89281,0.3584101574866099
114.42592,204.0537,22.104578,0.39119231330177884,142.92387,202.29068,22.17995,0.7233913800039432,179.01747,172.50375,81.43137,118.67388,186.60254,260.302,114.42592,142.92387,40,440,2ABA056,68,49.75338,69.828514,114.42592,-0.04504822026195518
63.1779,116.136055,27.000126,0.27228047989501775,172.73703,208.9874,21.897066,0.7055306795872938,70.11064,63.699875,55.919487,175.87787,200.71138,325.70312,63.1779,172.73703,41,689,2ABA071,77,31.556984,46.777843,63.1779,0.2634024691170147
98.297714,210.09558,21.85113,0.28634379614304806,353.95035,380.14236,16.700542,0.582314896571969,424.4877,202.21011,61.70087,362.47125,190.07306,605.552,98.297714,353.95035,42,189,2ABA030,43,17.905474,30.995016,98.297714,0.3853001886428662
112.44683,202.55865,22.168453,0.31433260312412625,105.14034,192.34175,22.617996,0.8573896826299433,190.8919,135.22232,83.02546,93.961555,140.65414,111.834145,112.44683,105.14034,43,778,2ABA077,10,47.805008,57.306232,112.44683,0.29282653797265396
76.90621,165.51675,23.92263,0.2877950977204471,351.73682,375.00504,16.818726,0.5882962548072478,323.86124,172.75793,46.842236,364.6842,173.18236,564.01086,76.90621,351.73682,44,198,2ABA030,52,22.635496,39.852886,76.90621,0.14042148233392715
153.89575,301.0549,18.726553,0.22597548594244338,218.83578,281.31107,19.315731,0.5371622011239936,489.76675,339.58575,60.495205,181.19261,150.60326,346.404,153.89575,218.83578,45,735,2ABA075,46,28.390882,40.044197,153.89575,-0.01980193356688594
138.86023,268.35202,19.72537,0.21122975752825685,187.08508,258.11874,20.063076,0.678675758777084,498.46677,372.0293,59.88393,145.16972,144.6772,220.51599,138.86023,187.08508,46,704,2ABA075,15,25.650951,40.92663,138.86023,0.059225109930912845
114.28291,218.02611,21.529297,0.28575126639697024,161.58885,283.54102,19.247149,0.8432732609210062,157.6538,218.40709,82.90621,129.65039,155.62727,156.34131,114.28291,161.58885,47,1236,2ABA118,20,59.92295,61.537647,114.28291,-0.0016100190021487138
92.4062,145.27477,25.055666,0.3325155546230366,169.42865,215.52109,21.629673,0.6534717949001932,71.381004,80.662285,83.76142,199.84949,198.24426,354.1686,92.4062,169.42865,48,541,2ABA064,81,66.23111,58.36575,92.4062,-0.05765622075230008
64.94001,115.459206,27.050896,0.2905850813671937,214.86937,252.25597,20.26264,0.5302481637370445,152.06935,87.414955,52.46524,224.5893,237.50887,343.64612,64.94001,214.86937,49,88,2ABA027,18,23.21236,37.810684,64.94001,0.09911815674091924
83.541664,152.51376,24.63329,0.3107700136225106,267.9325,298.0373,18.814054,0.44880886236960205,173.19247,132.09274,70.64977,279.78284,158.21024,352.50653,83.541664,267.9325,50,1494,2ABA132,51,24.459126,40.549477,83.541664,0.37049154042297083
96.10488,170.8925,23.645008,0.36383515217234824,149.24776,210.84508,21.8202,0.7452413207984604,111.432655,102.172165,69.31736,162.2663,232.46927,355.32108,96.10488,149.24776,51,940,2ABA096,27,71.864044,66.76773,96.10488,0.06921489720652588
90.73216,174.03557,23.486708,0.23024642977327445,251.59688,286.1026,19.169031,0.6058738650862104,325.22922,154.21959,61.240814,251.38737,294.05685,519.7439,90.73216,251.59688,52,1098,2ABA104,32,19.607506,29.72459,90.73216,0.09727097343983726
72.17258,144.52066,25.10087,0.30054957121915044,274.29025,316.50098,18.291965,0.5427560802091708,159.8204,120.00444,45.524258,262.32248,300.6441,593.7741,72.17258,274.29025,53,255,2ABA033,32,25.599304,41.640125,72.17258,0.14866661008948723
107.76897,203.47466,22.129261,0.3011170826706046,112.6903,199.16078,22.315392,0.8286286740824976,166.5924,143.49403,84.95133,100.958275,95.404236,104.11471,107.76897,112.6903,54,775,2ABA077,7,52.424355,58.99594,107.76897,0.1469349576742241
96.464935,196.10661,22.449625,0.29092250780859746,338.4388,366.80807,17.010689,0.5721378684639391,337.39938,194.45766,57.85311,331.11053,210.71098,542.9177,96.464935,338.4388,55,161,2ABA030,15,28.211294,40.161465,96.464935,0.21684152889817987
79.47641,130.22629,26.005495,0.2474893628786581,292.54874,318.65652,18.233011,0.5147963868874373,203.3976,150.81383,66.88947,297.29132,262.50406,496.4991,79.47641,292.54874,56,1130,2ABA104,64,18.90095,28.038578,79.47641,-0.013670093559812125
88.53555,169.16203,23.73341,0.21407702144348523,229.25073,277.0594,19.44801,0.6621482912581687,216.32869,166.4802,60.407806,219.00754,261.41827,555.8596,88.53555,229.25073,57,600,2ABA068,63,23.17642,37.822357,88.53555,0.10757476337195471
98.74538,212.03593,21.771278,0.3556703778464065,111.19158,200.67464,22.249619,0.8344553757565073,207.27013,198.8143,39.90991,61.40923,158.5945,189.53021,98.74538,111.19158,58,1287,2ABA118,71,60.88532,73.465385,98.74538,-0.014910527111597719
147.67696,270.76917,19.647482,0.2844518781949948,160.3489,262.8353,19.905794,0.7653213892853087,281.10028,266.1128,67.02684,94.20932,138.91089,196.2,147.67696,160.3489,59,1266,2ABA118,50,50.94924,57.56424,147.67696,-0.021914848257460887
104.6243,222.12787,21.367407,0.2859760771533047,204.34653,252.41476,20.257172,0.5031363341935117,316.51636,257.12137,60.94138,187.90115,241.04163,423.61334,104.6243,204.34653,60,740,2ABA075,51,25.33842,37.22159,104.6243,0.10241926412417802
154.26625,274.83582,19.518002,0.27095020336877934,172.48044,269.7247,19.681053,0.817357517678411,260.57907,206.3503,82.775246,145.32076,221.38808,251.46393,154.26625,172.48044,61,1182,2ABA114,42,63.676193,75.97633,154.26625,-0.13171680715417886
120.932556,201.72539,22.204256,0.3603497697814269,144.21721,226.34972,21.203869,0.7880547257791904,171.99802,220.6601,70.42343,83.67129,235.4826,236.32861,120.932556,144.21721,62,393,2ABA056,21,58.520702,61.467896,120.932556,-0.022634511534402865
